options__key,options__name,options__description,price,engineSize,averageRating,reviewsCount,power,MPGCombined
401590247,Ford Focus RS,4dr Hatchback w/EcoBoost AWD (2.3L 4cyl Turbo 6M),35730.00,2.30,350.00,0.00,0.00,0.00
200740487,Ford Focus ST,4dr Hatchback w/EcoBoost (2.0L 4cyl Turbo 6M),24425.00,2.00,252.00,27.00,5.00,5.00
200727089,Ford Fusion,Titanium 4dr Sedan AWD w/EcoBoost (2.0L 4cyl Turbo 6A),33270.00,2.00,231.00,26.00,4.71,21.00
200728169,Ford Fusion Energi,Titanium 4dr Sedan (2.0L 4cyl gas/electric hybrid CVT),35730.00,2.00,188.00,0.00,4.67,6.00
200727951,Ford Fusion Hybrid,Titanium 4dr Sedan (2.0L 4cyl gas/electric hybrid CVT),31430.00,2.00,188.00,43.00,4.52,6.00
200734943,Ford Mustang,V6 2dr Convertible (3.7L 6cyl 6M),29645.00,3.70,300.00,22.00,4.38,16.00
200737642,Ford Shelby GT350,R 2dr Coupe (5.2L 8cyl 6M),61295.00,5.20,526.00,17.00,5.00,2.00
401594157,Ford Taurus,Limited 4dr Sedan AWD (3.5L 6cyl 6A),36310.00,3.50,288.00,22.00,0.00,0.00
200732443,Ford Transit Connect,Cargo Van XL SWB 4dr Minivan w/Rear 180 Degree Door (2.5L 4cyl 6A),22675.00,2.50,169.00,25.00,0.00,0.00
200735525,Ford Transit Van,"350 High Roof 4dr Cargo Van w/Extended Length, Dual Sliding Doors (3.7L 6cyl 6A)",39290.00,3.70,275.00,0.00,4.00,1.00
200735553,Ford Transit Wagon,150 XLT Low Roof w/60/40 Passenger Side Door Passenger Van (3.7L 6cyl 6A),34470.00,3.70,275.00,16.00,0.00,0.00
200741277,GMC Acadia,SLE-2 4dr SUV AWD (3.6L 6cyl 6A),38755.00,3.60,281.00,19.00,5.00,1.00
401575446,GMC Canyon,SL 4dr Extended Cab SB (2.5L 4cyl 6M),20955.00,2.50,200.00,22.00,4.67,9.00
401625997,GMC Savana,LS 3500 3dr Ext Van (6.6L 8cyl Turbodiesel 6A),50095.00,6.60,260.00,0.00,0.00,0.00
401626239,GMC Savana Cargo,3500 3dr Van (4.8L 8cyl 6A),33915.00,4.80,285.00,13.00,0.00,0.00
401589674,GMC Sierra 1500,SLE 4dr Crew Cab 4WD 6.5 ft. SB (5.3L 8cyl 6A),44405.00,5.30,355.00,19.00,3.00,1.00
401630212,GMC Sierra 2500HD,SLT 4dr Double Cab 4WD LB (6.0L 8cyl 6A),49595.00,6.00,360.00,0.00,0.00,0.00
401613807,GMC Sierra 3500HD,2dr Regular Cab LB DRW (6.0L 8cyl 6A),35415.00,6.00,360.00,0.00,1.00,1.00
200746365,GMC Terrain,SL 4dr SUV (2.4L 4cyl 6A),23975.00,2.40,182.00,27.00,4.00,1.00
200779867,GMC Yukon,Denali 4dr SUV (6.2L 8cyl 8A),65045.00,6.20,420.00,18.00,5.00,1.00
200779875,GMC Yukon XL,Denali 4dr SUV (6.2L 8cyl 8A),67745.00,6.20,420.00,18.00,0.00,0.00
200759705,Honda Accord,Sport 4dr Sedan (2.4L 4cyl 6M),24265.00,2.40,189.00,28.00,4.43,70.00
401582893,Honda CR-V,EX 4dr SUV (2.4L 4cyl CVT),25995.00,2.40,185.00,29.00,4.30,50.00
401613423,Honda CR-Z,LX 2dr Hatchback (1.5L 4cyl gas/electric hybrid CVT),20945.00,1.50,130.00,37.00,0.00,0.00
401633815,Honda Civic,EX-L 2dr Coupe (1.5L 4cyl Turbo CVT),23425.00,1.50,174.00,36.00,4.35,17.00
200742369,Honda Fit,EX 4dr Hatchback (1.5L 4cyl CVT),18600.00,1.50,130.00,35.00,4.64,11.00
200675652,Honda HR-V,LX 4dr SUV (1.8L 4cyl 6M),19215.00,1.80,141.00,29.00,4.03,71.00
200751258,Honda Odyssey,Touring Elite 4dr Minivan (3.5L 6cyl 6A),44875.00,3.50,248.00,23.00,4.30,20.00
200738534,Honda Pilot,Touring w/Navigation and Rear Entertainment System 4dr SUV AWD (3.5L 6cyl 9A),42970.00,3.50,280.00,22.00,3.68,138.00
200759753,Hyundai Accent,SE 4dr Sedan (1.6L 4cyl 6M),14745.00,1.60,137.00,32.00,4.00,1.00
401590269,Hyundai Azera,4dr Sedan (3.3L 6cyl 6A),34100.00,3.30,293.00,24.00,0.00,0.00
200731190,Hyundai Elantra,Limited PZEV 4dr Sedan (1.8L 4cyl 6A),21700.00,1.80,145.00,32.00,4.52,25.00
200728306,Hyundai Elantra GT,4dr Hatchback (2.0L 4cyl 6A),19800.00,2.00,173.00,28.00,4.50,2.00
200738133,Hyundai Equus,Signature 4dr Sedan (5.0L 8cyl 8A),61500.00,5.00,429.00,19.00,4.40,5.00
401593923,Hyundai Genesis,5.0 4dr Sedan (5.0L 8cyl 8A),53850.00,5.00,420.00,19.00,4.75,16.00
401597978,Hyundai Genesis Coupe,3.8 R-Spec 2dr Coupe (3.8L 6cyl 6M),29900.00,3.80,348.00,20.00,0.00,0.00
200744834,Hyundai Santa Fe,SE 4dr SUV AWD (3.3L 6cyl 6A),32150.00,3.30,290.00,21.00,4.60,5.00
200736738,Hyundai Santa Fe Sport,4dr SUV AWD (2.4L 4cyl 6A),26700.00,2.40,190.00,22.00,0.00,0.00
401575706,Hyundai Sonata,Sport PZEV 4dr Sedan (2.4L 4cyl 6A),23400.00,2.40,185.00,30.00,4.33,6.00
200741599,Hyundai Sonata Hybrid,4dr Sedan (2.0L 4cyl gas/electric hybrid 6A),26000.00,2.00,193.00,42.00,4.83,12.00
401597451,Hyundai Sonata Plug-In Hybrid,Limited w/Blue Pearl Interior 4dr Sedan (2.0L 4cyl gas/electric hybrid 6A),38600.00,2.00,202.00,0.00,5.00,1.00
401587363,Hyundai Tucson,SE 4dr SUV AWD (2.0L 4cyl 6A),24100.00,2.00,164.00,23.00,4.15,33.00
200749830,Hyundai Veloster,Turbo R-Spec 3dr Hatchback w/Red Interior (1.6L 4cyl Turbo 6M),21600.00,1.60,201.00,29.00,3.67,3.00
401632502,Infiniti Q50,Hybrid Premium 4dr Sedan AWD (3.5L 6cyl gas/electric hybrid 7A),49050.00,3.50,360.00,29.00,0.00,0.00
401613050,Infiniti Q70,Hybrid 4dr Sedan (3.5L 6cyl gas/electric hybrid 7A),55900.00,3.50,360.00,31.00,0.00,0.00
401574227,Infiniti QX50,4dr SUV AWD (3.7L 6cyl 7A),35850.00,3.70,325.00,20.00,4.50,2.00
401630507,Infiniti QX60,4dr SUV (3.5L 6cyl CVT),42600.00,3.50,265.00,24.00,0.00,0.00
200736083,Infiniti QX70,4dr SUV (3.7L 6cyl 7A),45850.00,3.70,325.00,20.00,0.00,0.00
401610861,Infiniti QX80,4dr SUV (5.6L 8cyl 7A),63250.00,5.60,400.00,17.00,0.00,0.00
401598072,Jaguar F-TYPE,Project 7 2dr Convertible (5.0L 8cyl S/C 8A),165000.00,5.00,575.00,0.00,4.50,2.00
401581213,Jaguar XF,35t Prestige 4dr Sedan AWD (3.0L 6cyl S/C 8A),59550.00,3.00,340.00,24.00,5.00,1.00
401583355,Jaguar XJ,Supercharged 4dr Sedan (5.0L 8cyl S/C 8A),92000.00,5.00,470.00,19.00,0.00,0.00
401632265,Jeep Cherokee,High Altitude 4dr SUV (2.4L 4cyl 9A),29790.00,2.40,184.00,26.00,4.00,25.00
401631573,Jeep Compass,75th Anniversary 4dr SUV (2.4L 4cyl 6A),21080.00,2.40,172.00,24.00,3.75,8.00
401589184,Jeep Grand Cherokee,High Altitude 4dr SUV (3.6L 6cyl 8A),46690.00,3.60,290.00,22.00,5.00,3.00
401598503,Jeep Grand Cherokee SRT,4dr SUV 4WD (6.4L 8cyl 8A),65495.00,6.40,475.00,16.00,0.00,0.00
401631398,Jeep Patriot,75th Anniversary 4dr SUV 4WD (2.4L 4cyl 6A),21025.00,2.40,172.00,23.00,4.91,11.00
401566830,Jeep Renegade,Sport 4dr SUV (1.4L 4cyl Turbo 6M),17995.00,1.40,160.00,27.00,4.13,8.00
401627051,Jeep Wrangler,75th Anniversary 2dr SUV 4WD (3.6L 6cyl 6M),34575.00,3.60,285.00,19.00,4.59,17.00
401583150,Kia Cadenza,Premium 4dr Sedan (3.3L 6cyl 6A),35990.00,3.30,293.00,23.00,0.00,0.00
401630235,Kia Forte,Koup EX 2dr Coupe (2.0L 4cyl 6A),19890.00,2.00,173.00,29.00,4.25,4.00
401612190,Kia K900,Premium V6 4dr Sedan (3.8L 6cyl 8A),49000.00,3.80,311.00,21.00,0.00,0.00
